For sector 5, which country in 1981 had a similar budget as Denmark in 1999?|2,20|60|6|France
For sector 1, which country in 1991 had a similar budget as France in 2009?|12,30|60|7|Australia
For sector 5, which country in 1985 had a similar budget as Canada in 2003?|6,24|60|8|Denmark
For sector 4, which country in 2000 had a similar budget as Belgium in 2006?|21,27|60|9|Canada
For sector 1, which country in 1986 had a similar budget as Canada in 2004?|7,25|60|10|Canada
Which year did Belgium have the most budget on sector 3?|0,0|60|21|2014
Which year did Canada have the most budget on sector 2?|0,0|60|22|2015
Which year did Denmark have the most budget on sector 4?|0,0|60|23|1983
Which year did Belgium have the most budget on sector 4?|0,0|60|24|1984
Which year did Denmark have the most budget on sector 5?|0,0|60|25|2003

For sector 1, which country in 2013 had a similar budget as Canada in 1983?|4,34|60|1|France
For sector 2, which country in 2013 had a similar budget as Denmark in 1983?|4,34|60|2|Australia
For sector 3, which country in 2013 had a similar budget as Belgium in 1983?|4,34|60|3|Belgium
For sector 5, which country in 2013 had a similar budget as Canada in 1983?|4,34|60|4|France
For sector 5, which country in 2013 had a similar budget as France in 1983?|4,34|60|5|Australia
Which year did Belgium have the most budget on sector 3?|0,0|60|21|2014
Which year did Canada have the most budget on sector 2?|0,0|60|22|2015
Which year did Denmark have the most budget on sector 4?|0,0|60|23|1983
Which year did Belgium have the most budget on sector 4?|0,0|60|24|1984
Which year did Denmark have the most budget on sector 5?|0,0|60|25|2003
